member_id,Meetup_1,Meetup_2,Meetup_3,Intro,Photo,Location_munich,last_visited_within_2wb_m2,last_visited_within_1wb_m2,last_visited_within_2wb_m3,last_visited_within_1wb_m3
331,x,x,RYN,0,1,1,0,0,1,1
332,-,-,RYS,0,1,1,0,0,1,1
333,-,-,RYS,0,1,1,0,0,1,1
334,x,-,-,0,1,1,0,0,0,0
335,RN,RYN,-,0,1,1,0,0,0,0
336,-,-,-,0,1,1,0,0,0,0
337,x,-,-,0,1,0,0,0,0,0
338,x,x,-,0,1,1,0,0,1,0
339,x,-,-,0,0,1,0,0,0,0
340,-,-,-,0,1,1,0,0,0,0
341,-,RYS,RYS,0,1,1,1,1,1,1
342,x,-,-,0,0,0,0,0,0,0
343,x,x,-,0,0,1,0,0,0,0
344,x,-,-,0,1,1,0,0,1,1
345,-,RYS,RN,0,1,1,1,1,1,1
346,-,-,-,0,1,1,0,0,0,0
347,RN,-,-,0,1,1,0,0,0,0
348,x,x,-,0,1,1,0,0,0,0
349,RYS,RYS,RN,0,1,1,1,1,1,0
350,x,x,-,0,1,0,0,0,0,0
351,x,x,RYN,0,1,0,0,0,0,0
352,-,-,-,0,1,1,0,0,0,0
353,-,-,-,0,1,0,0,0,0,0
354,-,-,-,0,1,0,0,0,0,0
355,x,x,-,0,0,1,0,0,0,0
356,x,x,-,0,1,1,0,0,1,1
357,x,x,-,0,1,1,0,0,1,1
358,x,x,-,0,1,1,0,0,1,1
359,x,x,-,0,1,1,0,0,0,0
360,RN,RN,RYS,1,1,1,1,1,1,1
361,RN,-,-,0,1,1,0,0,0,0
362,-,-,RN,1,1,1,0,0,1,1
363,-,-,-,0,1,1,0,0,0,0
364,x,-,-,0,1,1,1,1,0,0
365,x,-,-,0,1,1,1,1,1,0
366,x,-,-,0,1,1,0,0,0,0
367,x,x,-,0,1,0,0,0,0,0
368,-,-,-,0,1,1,0,0,0,0
369,-,-,-,0,1,1,0,0,0,0
370,-,-,-,0,1,1,0,0,0,0
371,x,x,-,0,1,1,0,0,0,0
372,x,x,-,0,1,1,0,0,0,0
373,x,-,-,0,1,1,1,1,0,0
374,x,-,-,0,1,1,0,0,0,0
375,x,x,-,0,1,1,0,0,0,0
376,RN,-,-,0,1,1,1,0,0,0
377,x,x,-,0,1,1,0,0,0,0
378,RYS,RN,-,0,1,1,1,1,0,0
379,-,-,-,0,1,1,0,0,0,0
380,-,-,-,0,0,1,0,0,0,0
381,x,-,-,0,1,1,0,0,0,0
382,RYN,-,-,1,1,0,0,0,0,0
383,RN,-,-,0,1,1,0,0,0,0
384,x,x,-,0,1,1,0,0,0,0
385,x,x,RYS,0,1,1,0,0,1,1
386,-,-,-,0,1,1,0,0,0,0
387,RYS,-,RYS,0,1,1,0,0,1,1
388,x,RYN,-,0,1,1,1,1,0,0
389,x,x,RYS,0,0,1,0,0,1,1
390,RYS,-,-,0,1,1,0,0,0,0
391,x,x,-,0,1,1,0,0,1,0
